0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","3AT"
0,0,0,"1",0,0,0,0,0,0,0,"1",0,0,0,"1",0,0,"3","5AT"
0,0,0,"1",0,0,0,0,0,0,0,"2",0,0,"1","2",0,0,"4AT","6BT"
0,0,0,"2",0,0,0,"1",0,0,0,"3",0,0,"2","3",0,"1","6BT","7CT"
0,0,"1","3",0,0,"1","2",0,0,0,"4","1","1","3","5AT","1","2","7CT","9DT"
0,0,"1","4",0,0,"2","3",0,0,0,"5","2","2","4 AT","6AT","2","3","8DT","10ET"
0,0,"2","5",0,0,"3","4",0,0,"1","7","3AT","3","6 AT","7BT","3","4","10ET","11AS"
0,0,"3","6",0,"1","4","5",0,0,"2","8","4BT","4AT","7BT","9CT","4","5AT","11AP ","13AP"
0,0,"4","7","1","1","5","6",0,"1","3","9 AT","5CT","5BT","8CT","10DT","5","7BT","12 AS ","14AS"
0,"1","5","8","1","2","6","7 AT",0,"2","4 AT","10BT","6DT","6CT","9DT","11 ET","6","8CT","14AP","15AP"
0,"2","6","9 AT","2","3","7 AT","9 AT",0,"3","5BT","11CT","7ET","7DT","11 ET","13AS","7AT","9DT","15AS","17BS"
0,"3","7 AT","10BT","3 AT","4 AT","8 AT","10AT","1","4","7CT","13DT","8AP","8ET","12AS","14AP","8BT","10ET ","16AP","18BP"
0,"4","8BT","11CT","4 AT","5 AT","9BT","11BT","1","5AT","8DT","14ET","9AP","9AP","13AP","16AS","9CT","11 AP","18BS","19BS"
"1","5AT","9CT","12DT","5BT","6 AT","10CT","12CT","2AT","6BT","9ET","15AP","10AP","10AP","15AS","17AP","10DT","13AS","19BP","21BP"
"1 AT","6AT","9DT","13ET","6CT","7BT","11DT","13DT","3AT","7CT","10AP","16AS","11 AP","11 AP","16AP","18BS","11 ET","14AP","20BS","22BS"
"2AT","7BT","10ET","14AP","7DT","8CT","12ET","14ET","4 AT","8DT","12AS","17AP","12AP","12AP","17BS","20BP","12AP","15BS ","22BP","23BP"
"3BT","8CT","11 AP","15AS","8ET","8DT","13AP","15AP","5BT","9ET","13AP","19AS","13BP","13BP","18BP","21BS","13AS","16BP ","23BS","25BS"
"4CT","9DT","12AS","16AP","9AP","9ET","14 AS","17BS","6CT","10AP","14AS","20BP","14BP","14BP","20BS","22CP","14AP","18BS","24BP","26CP"
"5DT","10ET","13AP","17AS","10AP","10AP","15AP","18BP","7DT","11 AP","15BP","21BS","16BP","16BP","21BP","24CS","15AS","19BP ","25CS","27CS"
"6ET","11AP","14BS","18BP","11 AP","11 AP","16BS","19BS","8ET","12AP","17BS","22BP","17BS","17BS","22CS","25CP","16BP","20CS","27CP","29DP"
"6AP","12AP","15BP","19BS","11 AP","12AP","17BP","20CP","9AP","13AP","18BP","23CS","18CP","18CP","23CP","26CS","17BS","21 CP ","28DS","30DS"
"7AP","13AP","16BS","20BP","12BS","13BS","18BS","21 CS","10AP","14BP","19CS","25CP","19CS","19CS","25CS","28DP","18BP","22CS ","29DP","31DP"
"8AP","14BP","17BP","21CS","13BP","14BP","19B9","22CP","11 AP","15BS","20CP","26CS","20CP","20CP ","26CP","29DS","19CS","24CP","31DS","33DS"
"9AP","15BS","17CS","22CP","14BS","15BS","20CS","23CS","12BP","16BP","22CS","27CP","21CS","21 CS ","27DS","31 DP","20CP","25DS","32DP","34EP"
"10BP","16BP","18CP","23CS","15BP","15BP","21CP","25DP","13BP","17BS","23DP","28DS","22DP","22CP ","29DP","32DS","21CS","26DP ","33ES","35ES"
"11BS","17BS","19CS","24DP","16CS","16CS","22CS","26 DS","14BS","18CP","24DS","29DP","23DS","23DS ","30DS","33EP","22DP","27DS ","35EP","37EP"
"11 BP","18CP","20CP","25DS","17CP","17CP","23CP","27DP","15BP","19CS","25DP","31DS","24DP","24DP","31DP","35ES","23DS","28DP ","36ES","38ES"
"12BS","19CS","21CS","26DP","18CS","18CS","24CS","28DS","16CS","20CP","27DS","32DP","25DS","25DS ","32ES","36EP","24DP","30ES ","37EP","39EP"
"13CP","20CP","22DP","27ES","19CP","19CP","25DP","29EP","17CP","21CS","28EP","33ES","26EP","26EP ","34EP","37ES","25ES","31EP","39ES","41ES"
"14CK","21DK","23DK","28EP","20DK","20DK","26DK","30EK","18CK","22DP","29EK","34EP","27EK","27EK","35EK","39EP","26EP","32EK","40EP","42EP"
"15DS","22DS","24ES","29ES","21DS","21DS","27ES","31 ES","19DS","23DS","30ES","35ES","28ES","28ES","36ES","40ES","27ES","33ES ","41ES","43ES"
"16EP","23EP","25EP","30FP","22EP","22EP","28EP","33FP","20EP","25EP","32EP","37FP","29EP","29EP","38EP","42FP","29EP","35EP","43FP","45FP"
